label,run,region,direct,mean_delta_R2
GP_map,1,GP,Down2Top,0.00604214503125598
GP_map,2,GP,Down2Top,0.016683359074348
Otha_map,1,Otha,Down2Top,0.0065463062645151
Otha_map,2,Otha,Down2Top,0.0117758141942336
PPtha_map,1,PPtha,Down2Top,0.00580159583338817
PPtha_map,2,PPtha,Down2Top,0.0123819935646147
Stha_map,1,Stha,Down2Top,0.00607100370202161
Stha_map,2,Stha,Down2Top,0.00918245036369404
cHipp_map,1,cHipp,Down2Top,0.00776854647065241
cHipp_map,2,cHipp,Down2Top,0.0132505518174549
cTtha_map,1,cTtha,Down2Top,0.00508791227841097
cTtha_map,2,cTtha,Down2Top,0.0172903735447419
dCa_map,1,dCa,Down2Top,0.00756931719336476
dCa_map,2,dCa,Down2Top,0.016463955794427
dlPu_map,1,dlPu,Down2Top,0.00600147440036327
dlPu_map,2,dlPu,Down2Top,0.0151075994655954
map_GP,1,GP,Top2Down,0.0137273022380159
map_GP,2,GP,Top2Down,0.0106357326276274
map_Otha,1,Otha,Top2Down,0.0137137451728965
map_Otha,2,Otha,Top2Down,0.0143168845569438
map_PPtha,1,PPtha,Top2Down,0.013590376101919
map_PPtha,2,PPtha,Top2Down,0.00952899382642572
map_Stha,1,Stha,Top2Down,0.0124377410969301
map_Stha,2,Stha,Top2Down,0.0106686250885869
map_cHipp,1,cHipp,Top2Down,0.0139145236907218
map_cHipp,2,cHipp,Top2Down,0.00902439561349728
map_cTtha,1,cTtha,Top2Down,0.0158779445227759
map_cTtha,2,cTtha,Top2Down,0.0117963964008139
map_dCa,1,dCa,Top2Down,0.0170121997059007
map_dCa,2,dCa,Top2Down,0.00841725768618086
map_dlPu,1,dlPu,Top2Down,0.0130660072506852
map_dlPu,2,dlPu,Top2Down,0.0108073992607374
map_vCa,1,vCa,Top2Down,0.00961213782884314
map_vCa,2,vCa,Top2Down,0.0109024762985021
map_vmPu,1,vmPu,Top2Down,0.0118143333284121
map_vmPu,2,vmPu,Top2Down,0.0108753644613351
vCa_map,1,vCa,Down2Top,0.00594680733710029
vCa_map,2,vCa,Down2Top,0.0122885069552011
vmPu_map,1,vmPu,Down2Top,0.00679904385232495
vmPu_map,2,vmPu,Down2Top,0.0153938538478282
