Neurotransmitters,Number of significant correlations,Percentage
GABAa,27,0.964285714285714
MOR,27,0.964285714285714
KOR,25,0.892857142857143
COX-1,25,0.892857142857143
VAChT,24,0.857142857142857
5-HT1a,20,0.714285714285714
Oxygen,20,0.714285714285714
Glucose,19,0.678571428571429
H3,18,0.642857142857143
5-HT2a,12,0.428571428571429
CB1,12,0.428571428571429
mGluR5,8,0.285714285714286
5-HTT,7,0.25
5-HT1b,4,0.142857142857143
NET,4,0.142857142857143
TSPO,3,0.107142857142857
M1,3,0.107142857142857
D1,3,0.107142857142857
DAT,2,0.0714285714285714
D2,2,0.0714285714285714
5-HT4,2,0.0714285714285714
5-HT6,2,0.0714285714285714
