sub,session,CloseEye_central_alpha_mean_db,CloseEye_central_alpha_mean_linear,CloseEye_central_alpha_n_epochs_used,CloseEye_central_alpha_sd_linear,CloseEye_frontal_beta_mean_db,CloseEye_frontal_beta_mean_linear,CloseEye_frontal_beta_n_epochs_used,CloseEye_frontal_beta_sd_linear,CloseEye_frontal_theta_mean_db,CloseEye_frontal_theta_mean_linear,CloseEye_frontal_theta_n_epochs_used,CloseEye_frontal_theta_sd_linear,CloseEye_frontocentral_theta_mean_db,CloseEye_frontocentral_theta_mean_linear,CloseEye_frontocentral_theta_n_epochs_used,CloseEye_frontocentral_theta_sd_linear,CloseEye_global_theta_alpha_ratio_cv_linear,CloseEye_global_theta_alpha_ratio_mean_linear,CloseEye_global_theta_alpha_ratio_n_epochs_used,CloseEye_global_theta_alpha_ratio_sd_linear,CloseEye_global_theta_mean_db,CloseEye_global_theta_mean_linear,CloseEye_global_theta_n_epochs_used,CloseEye_global_theta_sd_linear,CloseEye_n_epochs_total,CloseEye_posterior_alpha_mean_db,CloseEye_posterior_alpha_mean_linear,CloseEye_posterior_alpha_n_epochs_used,CloseEye_posterior_alpha_sd_linear,OpenEye_central_alpha_mean_db,OpenEye_central_alpha_mean_linear,OpenEye_central_alpha_n_epochs_used,OpenEye_central_alpha_sd_linear,OpenEye_frontal_beta_mean_db,OpenEye_frontal_beta_mean_linear,OpenEye_frontal_beta_n_epochs_used,OpenEye_frontal_beta_sd_linear,OpenEye_frontal_theta_mean_db,OpenEye_frontal_theta_mean_linear,OpenEye_frontal_theta_n_epochs_used,OpenEye_frontal_theta_sd_linear,OpenEye_frontocentral_theta_mean_db,OpenEye_frontocentral_theta_mean_linear,OpenEye_frontocentral_theta_n_epochs_used,OpenEye_frontocentral_theta_sd_linear,OpenEye_global_theta_alpha_ratio_cv_linear,OpenEye_global_theta_alpha_ratio_mean_linear,OpenEye_global_theta_alpha_ratio_n_epochs_used,OpenEye_global_theta_alpha_ratio_sd_linear,OpenEye_global_theta_mean_db,OpenEye_global_theta_mean_linear,OpenEye_global_theta_n_epochs_used,OpenEye_global_theta_sd_linear,OpenEye_n_epochs_total,OpenEye_posterior_alpha_mean_db,OpenEye_posterior_alpha_mean_linear,OpenEye_posterior_alpha_n_epochs_used,OpenEye_posterior_alpha_sd_linear,PVT_central_alpha_mean_db,PVT_central_alpha_mean_linear,PVT_central_alpha_n_epochs_used,PVT_central_alpha_sd_linear,PVT_frontal_beta_mean_db,PVT_frontal_beta_mean_linear,PVT_frontal_beta_n_epochs_used,PVT_frontal_beta_sd_linear,PVT_frontal_theta_mean_db,PVT_frontal_theta_mean_linear,PVT_frontal_theta_n_epochs_used,PVT_frontal_theta_sd_linear,PVT_frontocentral_theta_mean_db,PVT_frontocentral_theta_mean_linear,PVT_frontocentral_theta_n_epochs_used,PVT_frontocentral_theta_sd_linear,PVT_global_theta_alpha_ratio_cv_linear,PVT_global_theta_alpha_ratio_mean_linear,PVT_global_theta_alpha_ratio_n_epochs_used,PVT_global_theta_alpha_ratio_sd_linear,PVT_global_theta_mean_db,PVT_global_theta_mean_linear,PVT_global_theta_n_epochs_used,PVT_global_theta_sd_linear,PVT_n_epochs_total,PVT_posterior_alpha_mean_db,PVT_posterior_alpha_mean_linear,PVT_posterior_alpha_n_epochs_used,PVT_posterior_alpha_sd_linear
sub-001,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-127.36957786960502,1.8302720843189239e-13,47.0,1.259380549294407e-13,-123.81184299307455,4.1551210549469597e-13,47.0,3.114852450605301e-13,-123.90905685062172,4.0630956069928245e-13,47.0,2.7247492436288495e-13,-124.8434852187008,3.2761005724099467e-13,47.0,1.6531809146901998e-13,0.46032249638080125,1.330330741234436,47.0,0.6123811678171575,-123.5025341605504,4.4620097832614955e-13,47.0,1.5257681875255076e-13,47.0,-122.24675318940298,5.958855858819555e-13,47.0,4.696749347906395e-13
sub-001,SD,-124.23705339003976,3.7673742785742383e-13,346.0,3.9752301852721577e-13,-126.95581534713676,2.0134450668046875e-13,346.0,1.808640689795858e-13,-119.66235411204367,1.0806258695835372e-12,346.0,7.52419198915446e-13,-120.21700941879371,9.51037567378632e-13,346.0,6.57006189601643e-13,0.5207728722750535,2.7147996897268305,346.0,1.4137940320704656,-119.22232036689985,1.1958792578970908e-12,346.0,7.146919132105488e-13,346.0,-120.85192199168361,8.216567983038116e-13,346.0,1.0867598319567622e-12,-124.1600381533996,3.8348182997840403e-13,358.0,5.255341402830384e-13,-126.13074608230413,2.435171612383787e-13,358.0,3.220769661693352e-13,-120.15539849374092,9.646287317364852e-13,358.0,8.008301154128209e-13,-120.49288630249973,8.92489949372512e-13,358.0,7.456516215378658e-13,0.5643758095230278,2.598769014402329,358.0,1.4666823662666755,-119.64908261152439,1.08393385853151e-12,358.0,8.431278674563076e-13,358.0,-120.31697997306193,9.293905578905985e-13,358.0,1.5127166876796013e-12,-126.58661376833038,2.1922949050173817e-13,40.0,1.0935096805111432e-13,-123.28832508227507,4.687721768813736e-13,40.0,3.1687873310915026e-13,-121.34467497218336,7.335015799432828e-13,40.0,5.987278397598607e-13,-121.98447375149371,6.329950413957716e-13,40.0,6.352945559159583e-13,0.6918893664661672,1.6489053462678793,40.0,1.140860075391959,-120.77032814212744,8.372439582795397e-13,40.0,6.103587017483952e-13,40.0,-120.21840892122002,9.507310758823805e-13,40.0,7.407446186232592e-13
sub-002,RW,-121.10403059434971,7.753049878494334e-13,240.0,9.888813520885855e-13,-127.48566067473746,1.7819401046726886e-13,240.0,1.2642814816671062e-13,-121.54301787106048,7.0074598851548e-13,240.0,4.972972671111553e-13,-122.83200595637615,5.207319882314053e-13,240.0,3.3846465743723426e-13,0.8740173723884136,1.5847633181614813,240.0,1.3851106711970416,-121.37696754774888,7.280661081333394e-13,240.0,3.4572829729483385e-13,240.0,-116.39121096021883,2.295286448689403e-12,240.0,3.5273504157115927e-12,-127.04886696990512,1.9707169422102845e-13,16.0,8.467220494459891e-14,-127.47643189122081,1.7857354876097184e-13,16.0,6.882482013627647e-14,-124.54042191045181,3.513042440227986e-13,16.0,2.2030384031768145e-13,-125.95194492664518,2.5376145754430426e-13,16.0,1.4738223076655027e-13,0.5590725970433941,1.5753451760714945,16.0,0.8807323188260735,-119.71910066512395,1.066594969695692e-12,16.0,3.848216638589494e-13,16.0,-124.46818328995508,3.57200276663914e-13,16.0,1.1602655430396503e-13,-127.28407806563403,1.8667059308318819e-13,56.0,9.808746532031273e-14,-125.08305967153868,3.100152702296632e-13,56.0,2.0918372992442005e-13,-122.6443511817991,5.43735346055785e-13,56.0,4.630507102736823e-13,-124.66492556208665,3.413697609018497e-13,56.0,2.2411625266300134e-13,0.41040397316405913,1.5206922757744497,56.0,0.6240981519377293,-123.7240253726369,4.240041318688082e-13,56.0,2.0827961344697554e-13,56.0,-124.41324125436886,3.617507031592606e-13,56.0,2.7092210132854054e-13
sub-002,SD,-123.8724989930097,4.0974608892838815e-13,121.0,5.966099024105762e-13,-127.36568184238155,1.8319167389054378e-13,121.0,9.605137246157406e-14,-120.70275979251086,8.503752963755682e-13,121.0,5.176740764910661e-13,-122.69127675527615,5.37889518591332e-13,121.0,2.977406104887735e-13,0.6033356816492184,2.116571691178375,121.0,1.277003224056544,-118.85880238351795,1.3003061194328842e-12,121.0,5.412820504729314e-13,121.0,-119.69125904762977,1.0734560564272896e-12,121.0,1.6891022782182181e-12,-126.0196871481117,2.498305039037199e-13,342.0,1.903041400807998e-13,-127.97768630055461,1.5908367545772276e-13,342.0,1.2464707099506315e-13,-121.61914701332964,6.885655214569092e-13,342.0,5.862673844725252e-13,-122.91675722602298,5.106642797011903e-13,342.0,4.149546326352619e-13,0.6997824088702993,1.8614438380353182,342.0,1.3026056529571304,-120.31133442889501,9.305997792464045e-13,342.0,5.759244446486043e-13,342.0,-121.67731974009511,6.794008897074467e-13,342.0,1.1525779824973364e-12,-124.42314073884478,3.60926547468057e-13,30.0,3.2084591379964777e-13,-124.5022526553261,3.5440735310868523e-13,30.0,2.0018522784082885e-13,-121.12848762041268,7.709499292984609e-13,30.0,5.16116355741094e-13,-122.99700141405921,5.013113532028518e-13,30.0,2.6446173287829595e-13,0.6859108319386716,1.3606082859566364,30.0,0.9332559613631667,-121.16914043393945,7.637649341460283e-13,30.0,3.5381982369624936e-13,30.0,-118.39711202527073,1.446179235429737e-12,30.0,1.4548550316631326e-12
sub-003,RW,-115.2252618515155,3.0022143432815386e-12,306.0,1.793411102507242e-12,-126.01094748345992,2.5033421184647417e-13,306.0,9.319400212938493e-14,-121.25489698557374,7.488270811015944e-13,306.0,4.816059905785445e-13,-122.0649887530721,6.213638128669377e-13,306.0,3.936171634653177e-13,1.3497429029177783,0.21011962509965806,306.0,0.28360747274200804,-121.09556615671292,7.768179707839399e-13,306.0,3.822386837172639e-13,306.0,-108.74229904998346,1.3358659379855927e-11,306.0,7.722049557504694e-12,-117.74939549260012,1.6788156675034958e-12,183.0,1.4938926267480947e-12,-124.68789524170283,3.3956786336194983e-13,183.0,1.087193052439974e-13,-123.20103165392143,4.782943640332988e-13,183.0,2.6311005332267815e-13,-124.00612677175823,3.973238956770095e-13,183.0,2.0790134060240742e-13,0.9128097487736452,0.2582592427435467,183.0,0.23574155448720893,-123.16707323274989,4.820506534022362e-13,183.0,2.1196852883231608e-13,183.0,-111.27462736782624,7.4563164321189e-12,183.0,6.689134299276884e-12,-124.27187536180115,3.7372703085094005e-13,18.0,1.5339151137022227e-13,-124.0452301739609,3.9376050160334676e-13,18.0,2.696676472384331e-13,-122.33231211098922,5.842567899652333e-13,18.0,2.438957731486987e-13,-123.31076363786462,4.663552882831684e-13,18.0,1.8372399011844912e-13,0.5321301971039564,0.9134181708870608,18.0,0.48605739131246706,-121.68802056497071,6.777283900404322e-13,18.0,1.9132833002191788e-13,18.0,-117.89080118919499,1.6250268565470178e-12,18.0,1.5516423211350161e-12
sub-003,SD,-120.85309250636308,8.214353145733783e-13,198.0,9.171764164681357e-13,-127.58557682047987,1.7413613173015362e-13,198.0,1.2300332600713347e-13,-118.4575698791358,1.4261834795133406e-12,198.0,1.3106958409956795e-12,-119.17971465957189,1.2076711489678528e-12,198.0,1.0906763479633249e-12,0.7741601811377504,1.847750558937194,198.0,1.430454907404198,-118.7182199536254,1.3430933895186404e-12,198.0,9.549938755926232e-13,198.0,-116.25617899306106,2.3677801508157733e-12,198.0,3.935937641899792e-12,-118.57649544614955,1.387653283153213e-12,463.0,1.3598076000918371e-12,-125.94913248555926,2.5392598760557465e-13,463.0,1.2135526114874285e-13,-119.45977792438741,1.1322362251766742e-12,463.0,1.3483077640631505e-12,-120.52711647512824,8.854814383077144e-13,463.0,1.094280737485503e-12,1.1330379580150196,0.8964623256199676,463.0,1.015725842857844,-120.04701277895674,9.890112434593431e-13,463.0,1.0370058396665299e-12,463.0,-113.20471532221686,4.78088500570535e-12,463.0,5.656830345538043e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-004,RW,-111.62373402631252,6.880382490754642e-12,402.0,2.3625993928788127e-12,-124.22580131802155,3.777153529232336e-13,402.0,1.286793872337866e-13,-115.72762004427119,2.6742495865292333e-12,402.0,1.8057469331163682e-12,-116.86450111982381,2.0582732946094947e-12,402.0,1.162549950526719e-12,0.5247138792727469,0.24875561063377194,402.0,0.13052552144650756,-115.28313337380979,2.962471032105452e-12,402.0,1.473589076531346e-12,402.0,-105.98310053676275,2.521657635019689e-11,402.0,7.614765130857404e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.5362361453284,1.7632816971024698e-12,52.0,1.220460967000078e-12,-123.94673267319747,4.02798079743532e-13,52.0,1.489448458986443e-13,-118.14593429482841,1.5322994359663164e-12,52.0,1.065877638576628e-12,-119.85237461069559,1.0343542876272028e-12,52.0,6.394500420837825e-13,0.4760612016874389,0.5375892915606233,52.0,0.25592540415464937,-118.66175094244576,1.360673855662289e-12,52.0,7.315940959318306e-13,52.0,-115.13766081509414,3.0633910595775246e-12,52.0,1.8968303874375656e-12
sub-004,SD,-111.308075015414,7.399109689224625e-12,309.0,3.8432759500975595e-12,-126.0717935439202,2.4684831401695947e-13,309.0,1.1313681435174166e-13,-117.95844017694745,1.599910588501573e-12,309.0,1.086375849387789e-12,-118.11186387097456,1.54436935704896e-12,309.0,1.031677744081229e-12,0.7330503394634622,0.28813755028283305,309.0,0.21121932904700136,-116.38057285213421,2.300916223261652e-12,309.0,1.2092345180609303e-12,309.0,-108.50506889770082,1.4108676490657094e-11,309.0,7.875677901252433e-12,-117.28666649398916,1.867590769728798e-12,282.0,1.3128315119852362e-12,-127.56507544731706,1.7496115543919135e-13,282.0,7.539779664705885e-14,-120.8244151445313,8.268788404427084e-13,282.0,5.864613577512592e-13,-121.05273910721236,7.845184958811049e-13,282.0,5.539643415623806e-13,0.7866895257606226,0.5520786418781934,282.0,0.43431448496172476,-119.44399126915798,1.1363602150718355e-12,282.0,6.356862047662533e-13,282.0,-115.20443180383238,3.0166495060849096e-12,282.0,2.8887718679551235e-12,-117.63100452721348,1.725216705623481e-12,51.0,1.6170237404711973e-12,-126.56975780454033,2.2008288722756734e-13,51.0,1.0087812921751864e-13,-118.39358350224413,1.4473548741468667e-12,51.0,9.962766496410294e-13,-118.60707756089474,1.377914483107487e-12,51.0,9.25976562361516e-13,0.5621648945152253,0.9216675948014642,51.0,0.5181291662096666,-117.72166837739016,1.6895696151969138e-12,51.0,8.02042947425099e-13,51.0,-115.28973860030538,2.957968468608068e-12,51.0,5.1169678502737145e-12
sub-005,RW,-111.72672615714913,6.7191298261584396e-12,374.0,2.69406146114865e-12,-125.52775431183144,2.798208569766498e-13,374.0,8.607746514294644e-14,-115.45954037740916,2.8445401138169042e-12,374.0,2.0076910834092022e-12,-115.91548255956499,2.5610266145068045e-12,374.0,1.6571487853318445e-12,0.5880564957020575,0.27835088477793984,374.0,0.16368604587808264,-115.6100442606778,2.7476441037580553e-12,374.0,1.5431541081882305e-12,374.0,-107.12885149760469,1.9369119187355887e-11,374.0,6.30685248442748e-12,-117.72449475033872,1.6884702625972007e-12,436.0,1.3028959418549495e-12,-126.43081812575046,2.2724484412888696e-13,436.0,7.528978889269559e-14,-118.75366909701448,1.3321732500032583e-12,436.0,9.874743985052549e-13,-119.65566208955572,1.082292626681581e-12,436.0,7.998254005682332e-13,0.6358184849747722,0.8543233269737632,436.0,0.5431945634350652,-119.06609179834413,1.2396898326178621e-12,436.0,7.678956154143357e-13,436.0,-115.69469181733953,2.6946045103803477e-12,436.0,2.4674855572117236e-12,-123.06215226733073,4.938437336366155e-13,25.0,3.769988065637401e-13,-124.92876892682816,3.21235118223644e-13,25.0,1.2427209885617626e-13,-114.76377382828203,3.338825608917354e-12,25.0,1.967408623073175e-12,-117.97448629967437,1.594009396821718e-12,25.0,7.572261462427593e-13,0.5766321816265226,3.5054933311672998,25.0,2.0213802672282264,-116.60168203629239,2.1866924163991004e-12,25.0,8.813863553682429e-13,25.0,-119.09367076810314,1.2318409772069042e-12,25.0,1.7659728632455658e-12
sub-005,SD,-113.17043982557082,4.818767870570824e-12,336.0,2.9796743676293664e-12,-125.49516307082187,2.819303191229219e-13,336.0,1.2865130522342025e-13,-114.16399662806,3.8333209394156665e-12,336.0,6.952042602864365e-12,-114.85458679142309,3.2697295277967043e-12,336.0,4.778223033951061e-12,1.256843075199972,0.5881625803696106,336.0,0.7392280662292923,-114.38118303620337,3.646323955071588e-12,336.0,4.565840712760468e-12,336.0,-107.61856105864682,1.7303673871574047e-11,336.0,1.1544908408982328e-11,-118.39005957310717,1.4485299359613569e-12,235.0,1.4321084299290204e-12,-126.1669839077824,2.414918462432658e-13,235.0,1.1098588084257525e-13,-117.40328982062385,1.8181008958354078e-12,235.0,2.440577081081925e-12,-118.51610199850043,1.407088041208722e-12,235.0,1.6561779154100799e-12,0.6635568722673839,1.2177590401297786,235.0,0.8080523798438477,-116.71589340459137,2.1299302756880828e-12,235.0,1.918474325057666e-12,235.0,-113.83058774475111,4.139214462369735e-12,235.0,6.114475430420563e-12,-116.21785321940513,2.388769859822755e-12,15.0,2.6614286168146737e-12,-125.92829115145675,2.5514854832893653e-13,15.0,1.4320254902174701e-13,-116.85760077110643,2.0615465634682285e-12,15.0,1.118858421448973e-12,-117.6727789997429,1.7086994016414709e-12,15.0,8.893956783378429e-13,0.9348692121989755,1.8146771076637795,15.0,1.696485758037153,-117.12223801784393,1.939663908193229e-12,15.0,1.1559059725438239e-12,15.0,-111.03700759006955,7.875660685743744e-12,15.0,1.0376683020952755e-11
