sub,session,marker,delta_value,delta_name
sub-001,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-001,RW,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-001,RW,global_theta_mean_db,,PVT_minus_CloseEye
sub-001,RW,n_epochs_total,,PVT_minus_CloseEye
sub-001,RW,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-001,SD,global_theta_alpha_ratio_cv_linear,0.17111649419111363,PVT_minus_CloseEye
sub-001,SD,global_theta_alpha_ratio_mean_linear,-1.0658943434589512,PVT_minus_CloseEye
sub-001,SD,global_theta_mean_db,-1.548007775227589,PVT_minus_CloseEye
sub-001,SD,n_epochs_total,-306.0,PVT_minus_CloseEye
sub-001,SD,posterior_alpha_mean_db,0.633513070463593,PVT_minus_CloseEye
sub-002,RW,global_theta_alpha_ratio_cv_linear,-0.46361339922435446,PVT_minus_CloseEye
sub-002,RW,global_theta_alpha_ratio_mean_linear,-0.06407104238703165,PVT_minus_CloseEye
sub-002,RW,global_theta_mean_db,-2.347057824888026,PVT_minus_CloseEye
sub-002,RW,n_epochs_total,-184.0,PVT_minus_CloseEye
sub-002,RW,posterior_alpha_mean_db,-8.022030294150028,PVT_minus_CloseEye
sub-002,SD,global_theta_alpha_ratio_cv_linear,0.08257515028945328,PVT_minus_CloseEye
sub-002,SD,global_theta_alpha_ratio_mean_linear,-0.7559634052217385,PVT_minus_CloseEye
sub-002,SD,global_theta_mean_db,-2.3103380504214925,PVT_minus_CloseEye
sub-002,SD,n_epochs_total,-91.0,PVT_minus_CloseEye
sub-002,SD,posterior_alpha_mean_db,1.2941470223590414,PVT_minus_CloseEye
sub-003,RW,global_theta_alpha_ratio_cv_linear,-0.817612705813822,PVT_minus_CloseEye
sub-003,RW,global_theta_alpha_ratio_mean_linear,0.7032985457874027,PVT_minus_CloseEye
sub-003,RW,global_theta_mean_db,-0.5924544082577938,PVT_minus_CloseEye
sub-003,RW,n_epochs_total,-288.0,PVT_minus_CloseEye
sub-003,RW,posterior_alpha_mean_db,-9.14850213921153,PVT_minus_CloseEye
sub-003,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
