name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
SFG_L_7_1,-5,15,54,Frontal,L,1,SFG,Superior Frontal Gyrus,A8m,medial area 8,Frontoparietal,Auditory
SFG_R_7_1,7,16,54,Frontal,R,2,SFG,Superior Frontal Gyrus,A8m,medial area 8,Ventral Attention,Salience/VenAttn A
SFG_L_7_2,-18,24,53,Frontal,L,3,SFG,Superior Frontal Gyrus,A8dl,dorsolateral area 8,Default,Visual C
SFG_R_7_2,22,26,51,Frontal,R,4,SFG,Superior Frontal Gyrus,A8dl,dorsolateral area 8,Frontoparietal,Default A
SFG_L_7_3,-11,49,40,Frontal,L,5,SFG,Superior Frontal Gyrus,A9l,lateral area 9,Default,Auditory
SFG_R_7_3,13,48,40,Frontal,R,6,SFG,Superior Frontal Gyrus,A9l,lateral area 9,Default,Auditory
SFG_L_7_4,-18,-1,65,Frontal,L,7,SFG,Superior Frontal Gyrus,A6dl,dorsolateral area 6,Dorsal Attention,Dorsal Attention A
SFG_R_7_4,20,4,64,Frontal,R,8,SFG,Superior Frontal Gyrus,A6dl,dorsolateral area 6,Dorsal Attention,Dorsal Attention A
SFG_L_7_5,-6,-5,58,Frontal,L,9,SFG,Superior Frontal Gyrus,A6m,medial area 6,Somatomotor,Somatomotor A
SFG_R_7_5,7,-4,60,Frontal,R,10,SFG,Superior Frontal Gyrus,A6m,medial area 6,Somatomotor,Somatomotor A
SFG_L_7_6,-5,36,38,Frontal,L,11,SFG,Superior Frontal Gyrus,A9m,medial area 9,Default,Default A
SFG_R_7_6,6,38,35,Frontal,R,12,SFG,Superior Frontal Gyrus,A9m,medial area 9,Frontoparietal,Default A
SFG_L_7_7,-8,56,15,Frontal,L,13,SFG,Superior Frontal Gyrus,A10m,medial area 10,Default,Visual C
SFG_R_7_7,8,58,13,Frontal,R,14,SFG,Superior Frontal Gyrus,A10m,medial area 10,Default,Visual C
MFG_L_7_1,-27,43,31,Frontal,L,15,MFG,Middle Frontal Gyrus,A9/46d,dorsal area 9/46,Ventral Attention,Salience/VenAttn A
MFG_R_7_1,30,37,36,Frontal,R,16,MFG,Middle Frontal Gyrus,A9/46d,dorsal area 9/46,Frontoparietal,Control B
MFG_L_7_2,-42,13,36,Frontal,L,17,MFG,Middle Frontal Gyrus,IFJ,inferior frontal junction,Frontoparietal,Control C
MFG_R_7_2,42,11,39,Frontal,R,18,MFG,Middle Frontal Gyrus,IFJ,inferior frontal junction,Frontoparietal,Control C
MFG_L_7_3,-28,56,12,Frontal,L,19,MFG,Middle Frontal Gyrus,A46,area 46,Frontoparietal,Default A
MFG_R_7_3,28,55,17,Frontal,R,20,MFG,Middle Frontal Gyrus,A46,area 46,Frontoparietal,Default A
MFG_L_7_4,-41,41,16,Frontal,L,21,MFG,Middle Frontal Gyrus,A9/46v,ventral area 9/46,Frontoparietal,Control C
MFG_R_7_4,42,44,14,Frontal,R,22,MFG,Middle Frontal Gyrus,A9/46v,ventral area 9/46,Frontoparietal,Salience/VenAttn A
MFG_L_7_5,-33,23,45,Frontal,L,23,MFG,Middle Frontal Gyrus,A8vl,ventrolateral area 8,Default,Visual C
MFG_R_7_5,42,27,39,Frontal,R,24,MFG,Middle Frontal Gyrus,A8vl,ventrolateral area 8,Frontoparietal,Default A
MFG_L_7_6,-32,4,55,Frontal,L,25,MFG,Middle Frontal Gyrus,A6vl,ventrolateral area 6,Dorsal Attention,Dorsal Attention A
MFG_R_7_6,34,8,54,Frontal,R,26,MFG,Middle Frontal Gyrus,A6vl,ventrolateral area 6,Dorsal Attention,Control C
MFG_L_7_7,-26,60,-6,Frontal,L,27,MFG,Middle Frontal Gyrus,A10l,lateral area10,Limbic,Control A
MFG_R_7_7,25,61,-4,Frontal,R,28,MFG,Middle Frontal Gyrus,A10l,lateral area 10,Frontoparietal,Default A
IFG_L_6_1,-46,13,24,Frontal,L,29,IFG,Inferior Frontal Gyrus,A44d,dorsal area 44,Frontoparietal,Control C
IFG_R_6_1,45,16,25,Frontal,R,30,IFG,Inferior Frontal Gyrus,A44d,dorsal area 44,Dorsal Attention,Control C
IFG_L_6_2,-47,32,14,Frontal,L,31,IFG,Inferior Frontal Gyrus,IFS,inferior frontal sulcus,Frontoparietal,Control C
IFG_R_6_2,48,35,13,Frontal,R,32,IFG,Inferior Frontal Gyrus,IFS,inferior frontal sulcus,Frontoparietal,Control C
IFG_L_6_3,-53,23,11,Frontal,L,33,IFG,Inferior Frontal Gyrus,A45c,caudal area 45,Default,Auditory
IFG_R_6_3,54,24,12,Frontal,R,34,IFG,Inferior Frontal Gyrus,A45c,caudal area 45,Default,Auditory
IFG_L_6_4,-49,36,-3,Frontal,L,35,IFG,Inferior Frontal Gyrus,A45r,rostral area 45,Default,Auditory
IFG_R_6_4,51,36,-1,Frontal,R,36,IFG,Inferior Frontal Gyrus,A45r,rostral area 45,Frontoparietal,Salience/VenAttn A
IFG_L_6_5,-39,23,4,Frontal,L,37,IFG,Inferior Frontal Gyrus,A44op,opercular area 44,Ventral Attention,Dorsal Attention B
IFG_R_6_5,42,22,3,Frontal,R,38,IFG,Inferior Frontal Gyrus,A44op,opercular area 44,Ventral Attention,Salience/VenAttn A
IFG_L_6_6,-52,13,6,Frontal,L,39,IFG,Inferior Frontal Gyrus,A44v,ventral area 44,Ventral Attention,Salience/VenAttn A
IFG_R_6_6,54,14,11,Frontal,R,40,IFG,Inferior Frontal Gyrus,A44v,ventral area 44,Ventral Attention,Salience/VenAttn A
OrG_L_6_1,-7,54,-7,Frontal,L,41,OrG,Orbital Gyrus,A14m,medial area 14,Default,Visual C
OrG_R_6_1,6,47,-7,Frontal,R,42,OrG,Orbital Gyrus,A14m,medial area 14,Default,Visual C
OrG_L_6_2,-36,33,-16,Frontal,L,43,OrG,Orbital Gyrus,A12/47o,orbital area 12/47,Default,Auditory
OrG_R_6_2,40,39,-14,Frontal,R,44,OrG,Orbital Gyrus,A12/47o,orbital area 12/47,Default,Auditory
OrG_L_6_3,-23,38,-18,Frontal,L,45,OrG,Orbital Gyrus,A11l,lateral area 11,Limbic,Control A
OrG_R_6_3,23,36,-18,Frontal,R,46,OrG,Orbital Gyrus,A11l,lateral area 11,Frontoparietal,Control C
OrG_L_6_4,-6,52,-19,Frontal,L,47,OrG,Orbital Gyrus,A11m,medial area 11,Limbic,Control A
OrG_R_6_4,6,57,-16,Frontal,R,48,OrG,Orbital Gyrus,A11m,medial area 11,Limbic,Control A
OrG_L_6_5,-10,18,-19,Frontal,L,49,OrG,Orbital Gyrus,A13,area 13,Limbic,Control A
OrG_R_6_5,9,20,-19,Frontal,R,50,OrG,Orbital Gyrus,A13,area 13,Limbic,Control A
OrG_L_6_6,-41,32,-9,Frontal,L,51,OrG,Orbital Gyrus,A12/47l,lateral area 12/47,Default,Auditory
OrG_R_6_6,42,31,-9,Frontal,R,52,OrG,Orbital Gyrus,A12/47l,lateral area 12/47,Default,Auditory
PrG_L_6_1,-49,-8,39,Frontal,L,53,PrG,Precentral Gyrus,A4hf,area 4 (head and face region),Somatomotor,Somatomotor B
PrG_R_6_1,55,-2,33,Frontal,R,54,PrG,Precentral Gyrus,A4hf,area 4 (head and face region),Somatomotor,Somatomotor B
PrG_L_6_2,-32,-9,58,Frontal,L,55,PrG,Precentral Gyrus,A6cdl,caudal dorsolateral area 6,Dorsal Attention,Dorsal Attention A
PrG_R_6_2,33,-7,57,Frontal,R,56,PrG,Precentral Gyrus,A6cdl,caudal dorsolateral area 6,Dorsal Attention,Dorsal Attention A
PrG_L_6_3,-26,-25,63,Frontal,L,57,PrG,Precentral Gyrus,A4ul,area 4 (upper limb region),Somatomotor,Somatomotor A
PrG_R_6_3,34,-19,59,Frontal,R,58,PrG,Precentral Gyrus,A4ul,area 4 (upper limb region),Somatomotor,Somatomotor A
PrG_L_6_4,-13,-20,73,Frontal,L,59,PrG,Precentral Gyrus,A4t,area 4 (trunk region),Somatomotor,Somatomotor A
PrG_R_6_4,15,-22,71,Frontal,R,60,PrG,Precentral Gyrus,A4t,area 4 (trunk region),Somatomotor,Somatomotor A
PrG_L_6_5,-52,0,8,Frontal,L,61,PrG,Precentral Gyrus,A4tl,area 4 (tongue and larynx region),Ventral Attention,Dorsal Attention B
PrG_R_6_5,54,4,9,Frontal,R,62,PrG,Precentral Gyrus,A4tl,area 4 (tongue and larynx region),Ventral Attention,Dorsal Attention B
PrG_L_6_6,-49,5,30,Frontal,L,63,PrG,Precentral Gyrus,A6cvl,caudal ventrolateral area 6,Dorsal Attention,Control C
