feature,r
terms_abstract_tfidf__listening,0.24412023
terms_abstract_tfidf__acoustic,0.22201054
LDA400_abstract_weight__201_speech_auditory_prosody,0.22198287
LDA100_abstract_weight__31_speech_auditory_production,0.21760204
terms_abstract_tfidf__voice,0.21671882
LDA400_abstract_weight__301_voice_vocal_voices,0.21190447
LDA200_abstract_weight__187_speech_auditory_temporal,0.21161081
terms_abstract_tfidf__speech,0.21009292
LDA50_abstract_weight__6_auditory_speech_temporal,0.20667596
LDA400_abstract_weight__174_music_musical_musicians,0.20610681
terms_abstract_tfidf__vocal,0.20276824
LDA200_abstract_weight__55_music_musical_pitch,0.20051838
terms_abstract_tfidf__posterior superior,0.197755
LDA100_abstract_weight__81_auditory_sounds_sound,0.19578114
terms_abstract_tfidf__pitch,0.19256282
terms_abstract_tfidf__inferior parietal,0.19148508
terms_abstract_tfidf__superior temporal,0.18883315
terms_abstract_tfidf__stg,0.18583794
terms_abstract_tfidf__junction,0.18200827
terms_abstract_tfidf__stop signal,0.1807567
LDA400_abstract_weight__293_temporal_sts_superior,0.17939475
terms_abstract_tfidf__belief,0.17852893
terms_abstract_tfidf__sounds,0.17837125
terms_abstract_tfidf__stop,0.17799594
terms_abstract_tfidf__musicians,0.1776734
terms_abstract_tfidf__sentences,0.17692426
terms_abstract_tfidf__temporal sulcus,0.17603487
terms_abstract_tfidf__syntactic,0.17585139
LDA400_abstract_weight__180_speech_sounds_auditory,0.17424147
terms_abstract_tfidf__cortex inferior,0.17406452
LDA200_abstract_weight__93_language_sentences_comprehension,0.17389238
terms_abstract_tfidf__music,0.17379075
terms_abstract_tfidf__frontal gyrus,0.17261632
terms_abstract_tfidf__gyrus stg,0.17186035
LDA100_abstract_weight__89_inhibition_response_control,0.16967048
terms_abstract_tfidf__sentence,0.16946715
terms_abstract_tfidf__speech production,0.16935903
terms_abstract_tfidf__higher level,0.16926986
terms_abstract_tfidf__temporale,0.16912155
terms_abstract_tfidf__planum temporale,0.16912155
terms_abstract_tfidf__broca,0.16864762
LDA400_abstract_weight__285_junction_tpj_temporoparietal,0.1675519
terms_abstract_tfidf__speaker,0.16694528
terms_abstract_tfidf__listened,0.16651697
terms_abstract_tfidf__linguistic,0.16441193
LDA400_abstract_weight__131_inhibition_response_stop,0.16390434
terms_abstract_tfidf__auditory,0.16389102
terms_abstract_tfidf__psts,0.16327792
LDA400_abstract_weight__259_sentences_sentence_syntactic,0.16318999
terms_abstract_tfidf__signal task,0.1629304
terms_abstract_tfidf__communication,0.16265
