Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)",0.8288368674039397,2.424901903612666,0.0,0.0,0.0,11/14,11.39%,TP53I3;AKR1C3;AKR1C1;AIFM2;DHRS4;AKR1C4;CRYZ;NQO1;CBR1;CBR4;DCXR
prerank,MHC Class II Protein Complex Binding (GO:0023026),0.6651493355937436,2.223047399097772,0.0,0.0026787017156198537,0.005,15/22,21.99%,CD81;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;GNAO1;CD4;CD74;HLA-DOB;HLA-DRA;HLA-DPA1;HLA-DRB3;B2M
prerank,Chemokine Binding (GO:0019956),0.7246680949652106,2.1020669178139983,0.0,0.010714806862479415,0.029,10/14,19.66%,CXCR4;FGF2;CX3CR1;CCR1;PLP2;CXCR3;CCR5;ZFP36;ACKR3;PDPN
prerank,Histone H4 Acetyltransferase Activity (GO:0010485),-0.6983471661171023,-2.0648190603473733,0.0,0.020916572117939364,0.02,11/19,18.09%,KAT8;MSL3;KAT6A;JADE1;ING3;BRPF3;USP22;BRD1;BRPF1;EP300;NAA50
prerank,Protein-Lysine N-methyltransferase Activity (GO:0016279),-0.5575123290284202,-2.0176822588357304,0.0,0.023293455313159746,0.045,19/44,16.12%,SETBP1;SETD6;ASH1L;EEF1AKMT2;SETDB1;EZH1;SUV39H2;SMYD2;CSKMT;KMT2B;SETDB2;NSD3;METTL21A;SETD1A;EZH2;KMT5B;SETD2;DOT1L;NSD2
prerank,NAD Binding (GO:0051287),0.6030857759544496,1.9752205058115235,0.0,0.05009172208209126,0.155,10/23,12.95%,BDH2;ZC3HAV1;HPGD;ME1;CRYL1;GLUD1;QDPR;CRYZ;ALDH2;HSD17B8
prerank,Fibroblast Growth Factor Binding (GO:0017134),0.6652717369222562,1.9746106632928468,0.0,0.0402876738029226,0.156,5/15,10.62%,GLG1;S100A13;THBS1;FGFR3;FGFR1
prerank,Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),0.563922329601935,1.9462505045261134,0.0023584905660377358,0.0439307081361656,0.198,13/25,22.43%,SERPINB1;ANXA2;SERPINA1;SERPINB8;SERPINI2;SERPINA6;SERPINB2;SERPINB6;TFPI;APLP2;SERPINH1;SERPINA3;SERPINE2
prerank,Transcription Coactivator Binding (GO:0001223),-0.5688164368036349,-1.8996551757262858,0.0,0.08937080814028636,0.219,12/31,15.12%,TRERF1;ZBTB8A;CCNT2;CDK9;THRB;MED6;PPARD;MED9;VGLL4;ZBTB17;EP300;CREBBP
prerank,Histone H4K8 Acetyltransferase Activity (GO:0043996),-0.7714639854306051,-1.8950926165129662,0.0,0.05647474471843628,0.226,6/10,14.08%,KAT8;KAT6A;JADE1;ING3;BRPF3;BRPF1
prerank,Histone H4K5 Acetyltransferase Activity (GO:0043995),-0.7714639854306051,-1.8950926165129662,0.0,0.05647474471843628,0.226,6/10,14.08%,KAT8;KAT6A;JADE1;ING3;BRPF3;BRPF1
prerank,Syntaxin-1 Binding (GO:0017075),-0.6785475653520145,-1.8840572619618998,0.00718132854578097,0.05482677236975015,0.254,8/15,12.62%,STXBP1;LRRK2;UNC13B;SNAP25;UNC13C;PRRT2;SNPH;STXBP5
