Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Phagosome,0.49281147847858,2.382518719626585,0.0,0.0,0.0,54/127,24.07%,THBS4;ITGB2;TUBB2B;COMP;COLEC12;ATP6V0A4;C3;ATP6V0E1;CYBB;TUBB3;FCGR2A;CYBA;SEC22B;HLA-DQB1;DYNC1I2;ITGB5;FCGR3A;THBS1;HLA-DMA;LAMP1;THBS2;HLA-DOA;HLA-DRB5;COLEC11;HLA-DRB1;TCIRG1;TUBA1C;HLA-DRB4;HLA-DMB;CD14;CALR;TLR4;ITGA5;HLA-G;HLA-DOB;HLA-DRA;HLA-DPA1;TUBB4B;SEC61A1;TUBB4A;ATP6V0B;HLA-F;CTSS;SCARB1;ITGAM;TUBB6;HLA-DRB3;DYNC1LI2;MARCO;LAMP2;HLA-E;HLA-C;SEC61B;TLR2
prerank,Staphylococcus aureus infection,0.5716975001707375,2.2490632612376746,0.0,0.0,0.0,28/43,22.10%,ITGB2;C3;SELPLG;FCGR2A;C1QC;HLA-DQB1;C1QB;C1QA;FCGR3A;MASP1;HLA-DMA;FPR1;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;C1S;KRT19;HLA-DOB;HLA-DRA;C3AR1;HLA-DPA1;ITGAM;HLA-DRB3;KRT9;DEFB1;CFD
prerank,Hematopoietic cell lineage,0.5190108195081009,2.176467249066737,0.0,0.0004605332017524186,0.001,38/60,28.55%,CD38;CD3D;CSF1R;HLA-DQB1;ITGA1;CD33;HLA-DMA;IL3RA;HLA-DOA;HLA-DRB5;HLA-DRB1;CD3E;HLA-DRB4;HLA-DMB;CD37;IL4R;CD14;CD44;ITGA5;CD4;CD55;CD34;CD2;HLA-DOB;HLA-DRA;HLA-DPA1;CD8B;ITGA6;CSF2RA;ITGAM;HLA-DRB3;GP9;IL9R;FLT3LG;FCER2;CD9;CD7;KIT
prerank,Autoimmune thyroid disease,0.6200591358309397,2.172601636263797,0.0,0.0003453999013143139,0.001,21/26,30.23%,HLA-DQB1;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;HLA-G;HLA-DOB;HLA-DRA;HLA-DPA1;HLA-F;HLA-DRB3;TSHB;HLA-E;HLA-C;PRF1;HLA-A;CD86;TPO;CD40
prerank,Fatty acid degradation,0.5984808082212822,2.1663558236588227,0.0,0.00027631992105145117,0.001,21/33,26.82%,ALDH9A1;CPT1A;ACAA2;ACSL4;ACSBG1;CPT2;ACADVL;ECI2;HADHB;ALDH2;ACOX1;ALDH3A2;ACAA1;ADH5;ECI1;HADHA;GCDH;ALDH7A1;HADH;ADH1C;ACSL1
prerank,Graft-versus-host disease,0.6230805587900896,2.1538675511333087,0.0,0.0004605332017524186,0.002,18/25,26.39%,KLRC1;HLA-DQB1;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;HLA-G;HLA-DOB;HLA-DRA;HLA-DPA1;HLA-F;HLA-DRB3;HLA-E;HLA-C;PRF1;HLA-A
prerank,Asthma,0.7064890852401031,2.1160326140398076,0.0,0.0011842282330776475,0.006,11/15,15.51%,HLA-DQB1;HLA-DMA;HLA-DOA;HLA-DRB5;FCER1G;HLA-DRB1;HLA-DRB4;HLA-DMB;HLA-DOB;HLA-DRA;HLA-DPA1
prerank,beta-Alanine metabolism,0.6275831297307107,2.07262911150696,0.0,0.0013815996052572556,0.008,14/23,22.42%,ALDH9A1;HIBCH;SMOX;CNDP2;ALDH2;MLYCD;ACOX1;ALDH3A2;ALDH6A1;HADHA;AOC3;ALDH3B1;ALDH7A1;DPYD
prerank,Cell adhesion molecules,0.4342606383003348,2.0558527452712134,0.0,0.0013815996052572558,0.009,51/113,20.81%,ITGB7;ITGB2;MPZL1;PTPRC;GLG1;SELPLG;VSIR;ICAM3;HLA-DQB1;CD99;NFASC;ITGB8;CD226;HLA-DMA;NEO1;CDH1;SPN;HLA-DOA;CADM1;HLA-DRB5;HLA-DRB1;CLDN14;PTPRM;PECAM1;HLA-DRB4;HLA-DMB;VCAN;PTPRF;ICOSLG;SDC2;NECTIN2;CD4;HLA-G;CD58;CD34;NLGN3;CD2;JAM3;HLA-DOB;HLA-DRA;HLA-DPA1;SDC3;CD8B;ITGA6;CNTN2;HLA-F;CLDN11;MAG;ITGAM;CLDN3;HLA-DRB3
prerank,Allograft rejection,0.6042825445112374,2.053465254306251,0.0,0.0012434396447315304,0.009,19/24,30.23%,HLA-DQB1;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;HLA-G;HLA-DOB;HLA-DRA;HLA-DPA1;HLA-F;HLA-DRB3;HLA-E;HLA-C;PRF1;HLA-A;CD86;CD40
prerank,Antigen processing and presentation,0.50109264267037,2.0475448811003605,0.0,0.0012559996411429597,0.01,34/57,24.69%,KLRC2;KLRC1;KLRC3;IFI30;HLA-DQB1;RFXANK;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HSPA5;PSME1;HLA-DRB4;HLA-DMB;HSPA4;CALR;CD4;HLA-G;PDIA3;CD74;HLA-DOB;HLA-DRA;HLA-DPA1;PSME2;CD8B;HLA-F;CTSS;HSPA6;HLA-DRB3;B2M;HLA-E;HLA-C;HSPA2;HSPA1A
prerank,Viral myocarditis,0.5014486525193835,2.027454929231042,0.0,0.0017269995065715695,0.014,33/50,32.17%,LAMA1;ITGB2;RAC2;HLA-DQB1;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;SGCA;SGCB;HLA-G;CD55;HLA-DOB;HLA-DRA;HLA-DPA1;MYH7;HLA-F;HLA-DRB3;RAC3;FYN;HLA-E;HLA-C;PRF1;CASP8;HLA-A;CASP9;ACTG1;CD86;CD40;CCND1;CAV1
prerank,Systemic lupus erythematosus,0.5290116935975626,2.0116501966761975,0.0,0.001806707176105642,0.015,20/37,15.51%,C3;FCGR2A;C1QC;HLA-DQB1;C1QB;C1QA;FCGR3A;HLA-DMA;SNRPD3;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;C8G;C7;C1S;HLA-DOB;HLA-DRA;HLA-DPA1
prerank,Steroid biosynthesis,0.6660018896124765,1.9726461634910815,0.0,0.002664513524424707,0.025,11/16,24.05%,SQLE;LSS;LBR;TM7SF2;CYP51A1;DHCR7;LIPA;HSD17B7;SC5D;DHCR24;NSDHL
prerank,Type I diabetes mellitus,0.5413057159315467,1.9461048637114902,0.0,0.0037763722543698317,0.038,20/32,26.39%,HLA-DQB1;HLA-DMA;HLA-DOA;HLA-DRB5;HLA-DRB1;HLA-DRB4;HLA-DMB;HLA-G;HLA-DOB;HLA-DRA;HSPD1;HLA-DPA1;HLA-F;HLA-DRB3;LTA;CPE;HLA-E;HLA-C;PRF1;HLA-A
prerank,Histidine metabolism,0.6351094475920104,1.9056734479705248,0.006493506493506494,0.0055263984210290225,0.06,13/17,29.05%,ALDH9A1;MAOB;HDC;CNDP2;ALDH2;ALDH3A2;MAOA;ASPA;HNMT;ALDH3B1;ALDH7A1;CNDP1;AMDHD1
prerank,Long-term potentiation,-0.4856723382671956,-1.9000724685871302,0.0,0.046422933319968926,0.057,19/64,15.12%,ADCY1;GRIN2A;RPS6KA3;CAMK2A;PRKCA;ITPR1;PRKCB;CAMK2G;PLCB1;GRIN1;CACNA1C;CALML4;CALML6;RAF1;GRIA2;PPP3CA;EP300;PPP3CB;CREBBP
prerank,Steroid hormone biosynthesis,0.5439342564830868,1.8960310644883764,0.004987531172069825,0.005932751246104686,0.067,15/28,22.87%,AKR1C3;AKR1C1;CYP11A1;CYP1B1;AKR1C4;COMT;CYP7B1;HSD17B8;CYP11B1;HSD17B7;HSD17B6;CYP17A1;LRTOMT;UGT2B10;CYP3A5
prerank,Viral protein interaction with cytokine and cytokine receptor,0.48116330236171934,1.8922556054359545,0.0,0.005833420555530635,0.07,31/45,30.53%,CXCR4;TNFRSF10B;TNFRSF1A;CSF1R;CXCL3;CX3CR1;CCR1;IL10RB;XCR1;IL10RA;CCR7;CCL24;CXCL2;CXCR3;CCR5;CCL22;ACKR3;PPBP;LTA;TNFSF10;IL2RB;LTBR;CXCL6;CCL17;CCL19;CCL21;CXCL12;CCL2;CCR9;CSF1;CCL25
prerank,Complement and coagulation cascades,0.4704523942298281,1.890737106981139,0.0,0.005744545727122273,0.072,30/50,30.46%,ITGB2;C3;F2R;SERPINA1;ITGAX;C1QC;C1QB;THBD;C1QA;MASP1;F3;C8G;SERPINB2;CD55;C7;C1S;C3AR1;TFPI;VSIG4;PLAT;ITGAM;A2M;CFD;CD46;C5;PROCR;C1R;VWF;PROS1;PLAUR
prerank,Circadian entrainment,-0.45505175278834387,-1.889830274937841,0.0,0.026358784173202695,0.063,23/89,10.54%,KCNJ3;ADCY1;KCNJ6;GRIN2A;CAMK2A;CACNA1I;PRKCA;ITPR1;PRKCB;PER1;PER2;CAMK2G;PLCB1;RYR2;GRIN1;KCNJ9;CACNA1C;CALML4;CACNA1D;GNB3;ADCY9;NOS1AP;CALML6
prerank,Inflammatory bowel disease,0.4947464945866681,1.8841549841811416,0.0,0.0060099582828690625,0.08,17/38,15.51%,NFATC1;HLA-DQB1;MAF;HLA-DMA;HLA-DOA;IL21R;HLA-DRB5;IFNGR1;HLA-DRB1;HLA-DRB4;HLA-DMB;IL4R;TLR4;TLR5;HLA-DOB;HLA-DRA;HLA-DPA1
prerank,Legionellosis,0.46836583250197,1.877654848277454,0.0,0.006250093452354252,0.087,25/46,28.59%,ITGB2;C3;CXCL3;SEC22B;CASP1;PYCARD;CD14;CASP7;TLR4;TLR5;HSPD1;MYD88;CXCL2;ITGAM;HSPA6;HSPA2;RAB1B;TLR2;EEF1A1;HSPA1A;CASP8;VCP;CASP9;SAR1A;CLK1
prerank,Primary immunodeficiency,0.5464365298500611,1.87379169681221,0.0,0.006154398241600503,0.09,13/25,18.18%,ORAI1;PTPRC;BLNK;CD3D;JAK3;RFXANK;TNFRSF13C;ZAP70;CD3E;CD79A;CD4;ADA;CD8B
prerank,PPAR signaling pathway,0.4523953686628745,1.8635084843286733,0.0,0.006787858930176952,0.102,30/55,26.82%,PPARA;SLC27A6;CPT1A;ME1;ACSL4;FABP6;ACSBG1;ACOX2;ANGPTL4;FADS2;CPT2;NR1H3;RXRA;LPL;ACOX1;PLTP;ACAA1;PLIN5;SLC27A5;HMGCS1;SCD5;SCD;ME3;HMGCS2;DBI;SLC27A1;CYP27A1;SCP2;PLIN4;ACSL1
prerank,Metabolism of xenobiotics by cytochrome P450,0.5023630915343094,1.850139126538673,0.004962779156327543,0.0073685312280386975,0.115,19/35,27.05%,EPHX1;AKR1C1;MGST1;CYP1B1;GSTP1;GSTO2;CBR1;AKR7A3;AKR7A2;HPGDS;ADH5;AKR7L;UGT2B10;ALDH3B1;CYP2B6;CYP3A5;ADH1C;GSTM2;GSTM1
